wines_taste,avg_ratings_average,avg_acidity,avg_intensity,avg_sweetness,avg_tannin
cocoa,4.4,3.51,3.98,1.91,3.36
clove,4.4,3.56,3.91,1.91,3.35
clay pot,4.4,3.88,3.73,1.75,3.69
clay dust,4.4,3.25,4.6,1.94,3.12
citrus zest,4.4,3.55,4.11,1.87,3.37
citrus oil,4.4,3.28,4.2,1.8,3.25
citrus blossom,4.4,3.65,3.74,1.72,3.49
citrus,4.4,3.63,3.93,1.85,3.44
cinnamon,4.4,3.56,3.92,1.91,3.34
cigar box,4.4,3.54,4.0,1.88,3.42
cigar,4.4,3.56,3.97,1.89,3.4
chutney,4.4,3.56,4.14,1.88,3.39
chocolate,4.4,3.53,3.92,1.93,3.33
chili pepper,4.4,3.53,4.18,1.91,3.56
chewing tobacco,4.4,3.62,4.1,1.86,3.57
chestnut,4.4,3.64,3.97,1.87,3.51
chervil,4.4,3.91,3.53,1.66,3.5
cherry syrup,4.4,3.51,4.14,1.9,3.41
cherry cough syrup,4.4,3.64,4.1,1.83,3.47
cherry,4.4,3.55,3.88,1.91,3.3
cheesy,4.4,3.51,4.04,1.92,3.45
cheese,4.4,3.52,3.97,1.92,3.37
chard,4.4,3.56,4.21,1.85,3.46
charcoal,4.4,3.63,4.01,1.81,3.51
chalk dust,4.4,3.42,4.3,1.91,3.47
chalk,4.4,3.64,3.98,1.82,3.47
cedar,4.4,3.57,3.9,1.89,3.35
cassis,4.4,3.52,3.94,1.9,3.34
carob,4.4,3.45,4.03,2.07,3.31
caramel,4.4,3.54,3.96,1.91,3.37
canned peach,4.4,2.88,3.68,2.85,2.69
camphor,4.4,3.79,3.94,1.78,3.63
campfire,4.4,3.5,4.15,1.91,3.41
butterscotch,4.4,3.46,4.1,1.91,3.4
butter,4.4,3.51,4.02,1.89,3.39
burnt caramel,4.4,3.54,4.2,1.84,3.49
bruised apple,4.4,3.84,3.71,1.66,3.48
brown sugar,4.4,3.56,3.99,1.91,3.41
brown butter,4.4,3.58,4.03,1.82,3.41
brioche,4.4,3.56,4.05,1.85,3.45
bread yeast,4.4,3.53,3.76,1.83,3.28
brazil nut,4.4,2.95,4.1,2.34,2.96
bramble,4.4,3.52,3.99,1.89,3.37
boysenberry,4.4,3.48,4.08,1.88,3.39
blueberry,4.4,3.52,3.93,1.92,3.32
blood orange,4.4,3.68,3.8,1.78,3.4
blackcurrant,4.4,3.54,3.92,1.9,3.34
blackberry jam,4.4,3.37,4.12,1.95,3.34
blackberry,4.4,3.53,3.91,1.91,3.32
black truffle,4.4,3.72,3.94,1.79,3.56
black raspberry,4.4,3.55,4.06,1.86,3.42
black plum,4.4,3.48,4.01,1.91,3.37
black olive,4.4,3.53,4.01,1.86,3.43
black licorice,4.4,3.5,4.09,1.9,3.41
black fruit,4.4,3.54,3.91,1.91,3.34
black cherry,4.4,3.53,3.91,1.92,3.32
bitter almond,4.4,3.53,3.94,2.01,3.36
bing cherry,4.4,3.68,3.98,1.79,3.49
bilberry,4.4,3.52,4.05,1.9,3.48
berry jam,4.4,3.38,4.12,2.0,3.33
bergamot,4.4,3.72,4.0,1.81,3.48
bell pepper,4.4,3.48,4.11,1.85,3.43
beeswax,4.4,3.6,4.07,1.94,3.55
beef broth,4.4,3.76,4.15,1.69,3.68
bay leaf,4.4,3.56,4.02,1.83,3.47
barbecue smoke,4.4,3.69,3.97,1.94,3.54
barbecue meat,4.4,3.49,4.02,1.9,3.36
banana,4.4,3.59,4.0,1.86,3.42
balsamic,4.4,3.56,3.91,1.9,3.41
baking spice,4.4,3.58,3.96,1.87,3.41
baking chocolate,4.4,3.43,4.23,1.95,3.42
asparagus,4.4,3.64,4.05,1.8,3.51
ash,4.4,3.58,3.97,1.86,3.43
arugula,4.4,3.45,4.04,1.88,3.35
apricot,4.4,3.56,4.03,1.88,3.43
apple,4.4,3.57,3.97,1.85,3.42
aniseed,4.4,3.61,4.03,1.82,3.48
anise,4.4,3.62,3.95,1.86,3.45
almond,4.4,3.51,3.99,1.94,3.38
allspice,4.4,3.47,4.07,1.9,3.39
acai berry,4.4,3.34,4.18,2.07,3.3
acacia,4.4,3.57,4.07,1.84,3.48
5-spice powder,4.4,3.39,3.95,1.99,3.33
yellow beet,4.3,3.83,4.24,1.67,3.56
wood ear,4.3,4.02,3.89,1.63,4.1
wood burner,4.3,3.34,4.36,1.7,3.53
sour cherry pie,4.3,4.03,3.75,1.64,3.94
preserved lemon,4.3,4.21,4.01,1.65,4.07
pomello,4.3,4.0,3.98,1.61,3.87
peanut shell,4.3,3.42,4.03,2.21,3.2
asian pear,4.3,3.2,4.18,2.22,3.28
